Country,Rank,Track_id,Streams,Track Name,Artist,URL,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,duration_ms,Artist_id,Artist_popularity,Artist_follower,Artist_img,mode_1.0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,time_signature_3,time_signature_4,time_signature_5
global,1348.0,35wvL50xvKpCHEJPxLOLPI,1282564,Si Estuviésemos Juntos,Bad Bunny,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI,-0.7592499889086697,-0.04160398264716858,-0.17622560882208346,-0.16897884807852612,-0.16414998974254527,-0.12079349984281398,-0.44825224329094043,-1.496422392163396,1.6177676801402585,169248,4q3ewBCX7sLwd24euuV69X,98,17863391,https://i.scdn.co/image/22590f4021a00d1cad0821cc46a54395960342ee,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
global,1349.0,6Jf8Y84YSdqeJfEPDJFEZu,1282044,Too Late For Love,John Lundvik,https://open.spotify.com/track/6Jf8Y84YSdqeJfEPDJFEZu,-0.23609028284699346,-1.844754537193221,0.7062261941427457,-0.16957677944084176,-0.798928941638929,0.8365466052793226,-0.49652987969345486,-0.3209553245108281,-0.5824365806464031,178133,11LbPHLi2sCqOVjknt0jmW,56,19341,https://i.scdn.co/image/5c31aea61824a93b82ac19e9b26be648a7c48a60,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
global,1350.0,0WhDotK0QXigmsrlw0DxKK,1270100,Evoluiu,MC Kevin o Chris,https://open.spotify.com/track/0WhDotK0QXigmsrlw0DxKK,0.8110076407437127,0.11143093526633341,-0.925148520548813,-0.16957677944084176,1.3878588034224255,0.03948353054821321,2.6687275178968592,0.9362044351021499,0.9009323965121674,179644,2UMj7NCbuqy1yUZmiSYGjJ,84,1139072,https://i.scdn.co/image/984dfbcdcf7880b022478b4433ae006b2a108b03,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
global,1351.0,0IQCOAw9ZAI6WnXIrl481F,1266318,Hoje Eu Vou Parar Na Gaiola,Mc Livinho,https://open.spotify.com/track/0IQCOAw9ZAI6WnXIrl481F,-0.8740804303433383,-0.18798520847747555,-1.5289313331036962,-0.16957677944084176,-0.5628176513043529,-0.24325235452359892,2.405394955701326,1.6169768681055676,-1.0527000545688678,177094,7me0S5Z40qVWj3gzyK8aC3,79,5100158,https://i.scdn.co/image/afaa5ec487cef04fa4a4a1429c5ef5e67cb69696,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
global,1352.0,7wMAgaPiKzTNxpDWu2BPfk,1255711,Jenifer,Gabriel Diniz,https://open.spotify.com/track/7wMAgaPiKzTNxpDWu2BPfk,-0.14656146410131973,0.5971504573396247,1.7976797399150344,-0.16955665451366655,-0.6540257509974602,1.4207473767270675,-0.743184712949938,1.9437476359472086,1.2354772264968732,160640,3WQ1s2QFvL6crxBvrVhwzj,65,961614,https://i.scdn.co/image/34ac7af1da87ca5c0d7f65cc8902e326da598444,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
global,1353.0,5Lb1pjnll07UQKxNpnnGBy,1253291,Punto G,KAROL G,https://open.spotify.com/track/5Lb1pjnll07UQKxNpnnGBy,-0.9719393217896963,0.7235706069203444,0.735254213977115,-0.16795980552329556,-0.6518191034242399,0.6265656868119764,-0.38154132753473863,1.989132464814103,1.425971524570663,181587,790FomKkXshlbRYZFtlgla,92,7947851,https://i.scdn.co/image/f67a7967874f13a1af7f3e90df067eea5199c1d9,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
global,1354.0,6875MeXyCW0wLyT72Eetmo,1249034,Starving,Hailee Steinfeld,https://open.spotify.com/track/6875MeXyCW0wLyT72Eetmo,0.6085946592317544,-0.06821875097995167,-0.06591913345147975,-0.16957677944084176,-0.5319245852792682,0.8113344881391611,-0.2454861704003796,0.04666178931101757,-0.7256409051850453,181933,5p7f24Rk5HkUZsaS3BLG5F,82,5192876,https://i.scdn.co/image/1fe03485d11ecce6a26a6f1c85ef4f5186fb992f,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
global,1355.0,4Y0TtDriFlN3XZoQx6PYsu,1223556,"Don't Give Up On Me - (From ""Five Feet Apart"")",Andy Grammer,https://open.spotify.com/track/4Y0TtDriFlN3XZoQx6PYsu,-0.662325311223136,-0.2478684372262375,-0.507145034933894,-0.16947150164261304,-0.43630319043972016,0.36940209198232815,-0.8932842734013922,-1.9044320036767777,-0.3021466617994053,196188,2oX42qP5ineK3hrhBECLmj,77,716103,https://i.scdn.co/image/a8660c4ae74a883067345f1bc0095b2c291d2e3c,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
global,1356.0,34rzJNfTd5e9s3TICFMPD0,1179556,O Tannenbaum,Vince Guaraldi Trio,https://open.spotify.com/track/34rzJNfTd5e9s3TICFMPD0,2.531517983595356,-0.6337825780515922,-2.5158840074722546,-0.07372163497623299,-0.35539277942164116,-3.4073730556138817,-0.786195698108542,-0.6613415410125367,0.03760559816852374,309387,4ytkhMSAnrDP8XzRNlw9FS,75,75655,https://i.scdn.co/image/822d7cac5aa9649b2c8a0be5da89567f8b80ca56,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
global,1357.0,5Bj9llJ7xr70Ny2nWiSM6G,1168772,Celsius,PNL,https://open.spotify.com/track/5Bj9llJ7xr70Ny2nWiSM6G,-0.22052005349991974,0.8632981406674556,0.49141884736841207,-0.1258370533259232,-0.5856196762276297,-0.29547745431393385,-0.766884643547536,-0.42080194801799586,-0.23334349314606695,242466,3NH8t45zOTqzlZgBvZRjvB,80,2607096,https://i.scdn.co/image/5183e0a003fb8679a63fbdac311df70c79bc9851,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
global,1358.0,00v5O7qsglyTtp2q1M9DZr,1155602,Pray You Catch Me,Beyoncé,https://open.spotify.com/track/00v5O7qsglyTtp2q1M9DZr,1.4532796013105025,-2.8561157338389775,-2.3591327003666605,0.6075013334518603,2.130763486406606,-2.592661498884659,-0.8072623030841846,-1.8567779333665384,1.7476279653468907,196000,6vWDO969PvNqNYHIOW5v0m,90,21495344,https://i.scdn.co/image/9fef2047e4e3f05031807d5fa9e121b7862ba259,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
global,1359.0,09OojFvtrM9YRzRjnXqJjA,1150162,Rockin' Around the Christmas Tree,Brenda Lee,https://open.spotify.com/track/09OojFvtrM9YRzRjnXqJjA,1.2080484890940917,0.02493293818478913,0.09663777762098888,-0.16957677944084176,0.36544542783033584,-0.8778773602516668,-0.801995651840274,1.5352841761451574,0.6136449936252135,126146,4cPHsZM98sKzmV26wlwD2W,78,148590,https://i.scdn.co/image/2873f90f994289db10fcbbab0c5a789ab6670a0f,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
global,1360.0,4M3FO0ji6Lc8vwD1sgf1nc,1137287,Born To Be Yours,Kygo,https://open.spotify.com/track/4M3FO0ji6Lc8vwD1sgf1nc,0.12591754947246986,0.018279246101593358,0.49141884736841207,-0.16957677944084176,-0.5620821021132795,0.2411804676695063,-0.8151622799500506,-0.1439544919299393,-0.26452298017061676,193320,23fqKkggKUBHNkbKtXEls4,89,5922832,https://i.scdn.co/image/1caaca2be637b0c56bb0ede637e36a8bcca149d1,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
global,1361.0,1tT55K6VEyO6XFDxK4lDQe,1119832,In My Head,Peter Manos,https://open.spotify.com/track/1tT55K6VEyO6XFDxK4lDQe,1.8970311377021027,-1.1926927130400362,-2.5739400471409937,-0.15526830520644022,-0.5025026176363303,-3.1988328295545445,-0.7642513179255808,-1.8744780166246273,-0.33169882695419795,214533,4K9aclpXgCPNFGEqRlFPal,62,46099,https://i.scdn.co/image/d0ba328333ae000a719f1c5cb1cc587da0721084,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
global,1362.0,0lCf7sZrGyEAKrfA1AXG11,1097873,Daddy Lessons,Beyoncé,https://open.spotify.com/track/0lCf7sZrGyEAKrfA1AXG11,0.04806640273710153,-0.40090335513974024,-0.7219523817082275,-0.16957677944084176,1.1083501108145162,-0.6686167879883256,0.6586222931376191,0.39612497158610516,-1.0149461871904986,287960,6vWDO969PvNqNYHIOW5v0m,90,21495344,https://i.scdn.co/image/9fef2047e4e3f05031807d5fa9e121b7862ba259,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
global,1363.0,6mf7BNgXs8JipPr2QILnyN,1089801,Champion Of The World,Coldplay,https://open.spotify.com/track/6mf7BNgXs8JipPr2QILnyN,-0.9920249176474213,-1.1660779447072531,-0.1646144008883357,-0.03928823356661626,-0.480436141904127,-0.22200214150546296,-0.9099620023404427,-1.4555760461831908,-0.43125837894594954,257547,4gzpq5DPGxSnKTe4SA8HAU,92,24034836,https://i.scdn.co/image/c942640d486338e4ae144a497f0cfd3f35ceb7af,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
global,1364.0,6YeDjSHCDmJKgU8foiaruL,1086492,Santa Claus Is Comin' to Town,Frank Sinatra,https://open.spotify.com/track/6YeDjSHCDmJKgU8foiaruL,2.212328281980345,-0.21459997681025864,-2.4404111559028947,-0.16957677944084176,1.012728715974968,-1.9735239365426906,-0.6439961145229538,0.9044350548953242,0.5949633385603993,154640,1Mxqyy3pSjf8kZZL4QVxS0,88,3528165,https://i.scdn.co/image/fc4e0f474fb4c4cb83617aa884dc9fd9822d4411,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
global,1365.0,299lFlaAsNQdgbIZNPmIA0,1083461,Christmas Time Is Here - Vocal,Vince Guaraldi Trio,https://open.spotify.com/track/299lFlaAsNQdgbIZNPmIA0,2.8039969971691456,-1.9312525342747662,-2.782941789948453,-0.1694969777064938,-0.5488422166739575,-4.7612637460405605,-0.8616843659379282,-1.8000468972829202,-1.519057956003915,166387,4ytkhMSAnrDP8XzRNlw9FS,75,75655,https://i.scdn.co/image/822d7cac5aa9649b2c8a0be5da89567f8b80ca56,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
global,1366.0,07RmHXaYqBdUyfAESPZkRO,1073499,Sleigh Ride,Carpenters,https://open.spotify.com/track/07RmHXaYqBdUyfAESPZkRO,2.3874933621349244,-1.3856497834527135,-2.277854244830426,-0.16957677944084176,-0.5172136014577993,-3.307965279461244,0.5445115161862213,0.29173986519224815,2.574763125307132,159440,1eEfMU2AhEo7XnKgL7c304,77,1181983,https://i.scdn.co/image/ed45f575339b044d7168780a15ff457b85be851a,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
global,1367.0,5ZOEulH7fvK4ZkMLTOyKL0,1046168,Demonz (feat. Brent Faiyaz) - Interlude,Juice WRLD,https://open.spotify.com/track/5ZOEulH7fvK4ZkMLTOyKL0,0.04028128806356467,-1.172731636790449,-1.8308227393811376,3.076003961533169,-0.3480372875109067,-1.7689456146053788,-0.6132739822668082,-1.3965757686562281,1.5418693881347774,95267,4MCBfE4596Uoi2O4DtmEMz,98,7403812,https://i.scdn.co/image/d8e62447a338a882b490460da20e90aac6d60ae7,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
global,1368.0,0zYqFyhiTj419q56lNsjk0,1044473,Don't Know What To Do,BLACKPINK,https://open.spotify.com/track/0zYqFyhiTj419q56lNsjk0,-0.6167823903829454,-0.3343664343077825,0.090832173654115,-0.16957677944084176,-0.26712687649282757,0.833305047361302,-0.7107070302791556,-0.3572631876043437,0.24954799848571463,201081,41MozSoPIsD1dJM0CLPjZF,83,10276873,https://i.scdn.co/image/254b0e0fc1d4cf39de56960ed983c1ff7e3dff00,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
global,1369.0,6pXcDMr10gh902gPlKuSLv,1038177,Freedom (feat. Kendrick Lamar),Beyoncé,https://open.spotify.com/track/6pXcDMr10gh902gPlKuSLv,-0.8569531780615571,-1.4654940884510625,1.0429512242214307,-0.16957677944084176,3.7563271986789215,0.020394356142090866,1.4398422276510354,-0.3618016704910332,-1.217710492162258,289760,6vWDO969PvNqNYHIOW5v0m,90,21495344,https://i.scdn.co/image/9fef2047e4e3f05031807d5fa9e121b7862ba259,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
